name,description,original_price,price,category_name,subcategory_name,specifications
Large Breadboard,"The Large Breadboard is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Large Breadboard (Standard large solderless breadboard (~840 tie-points)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",175.5,135,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Short Breadboard,"The Short Breadboard is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Short Breadboard (Half-size solderless breadboard (~400 tie-points)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",117,90,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Double Side Veroboard (big),"The Double Side Veroboard (big) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Double Side Veroboard (big) (Large double-sided prototyping PCB (vero board)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",260,200,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Single Side Veroboard (big),"The Single Side Veroboard (big) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Single Side Veroboard (big) (Large single-sided prototyping PCB) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",195,150,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Single Side Veroboard (average),"The Single Side Veroboard (average) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Single Side Veroboard (average) (Medium single-sided prototyping PCB) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",52,40,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Arduino UNO Motor Driver Shield,"The Arduino UNO Motor Driver Shield is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This Arduino UNO Motor Driver Shield (Motor driver shield for Arduino Uno (L298 style)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",286,220,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Microcontroller"": ""ATmega Series"", ""Operating Voltage"": ""5V"", ""Interface"": ""USB"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
NRF24L01,"The NRF24L01 is a high-performance part specifically designed for Communication & Modules systems and advanced robotics projects. This NRF24L01 (2.4 GHz wireless transceiver module (NRF24L01)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",455,350,Communication & Modules,Wireless & Networking,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
RFID RC522,"The RFID RC522 is a high-performance part specifically designed for Communication & Modules systems and advanced robotics projects. This RFID RC522 (RFID reader/writer module with RFID tags (RC522)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",234,180,Communication & Modules,Wireless & Networking,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
HC-05 Bluetooth Module,"The HC-05 Bluetooth Module is a high-performance part specifically designed for Communication & Modules systems and advanced robotics projects. This HC-05 Bluetooth Module (Serial Bluetooth module (configurable master/slave)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",364,280,Communication & Modules,Wireless & Networking,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
RF 433MHz Set,"The RF 433MHz Set is a high-performance part specifically designed for General Electronics systems and advanced robotics projects. This RF 433MHz Set (433 MHz ASK/OOK transmitter and receiver pair) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",234,180,General Electronics,Miscellaneous,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
SIM800L Module,"The SIM800L Module is a high-performance part specifically designed for Communication & Modules systems and advanced robotics projects. This SIM800L Module (GSM/GPRS module for SMS, calls, and data (SIM800L)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",520,400,Communication & Modules,Wireless & Networking,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
NEO-6 GPS Module,"The NEO-6 GPS Module is a high-performance part specifically designed for Communication & Modules systems and advanced robotics projects. This NEO-6 GPS Module (NEO-6 GPS receiver module for location tracking) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",585,450,Communication & Modules,Wireless & Networking,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Fingerprint Module,"The Fingerprint Module is a high-performance part specifically designed for Communication & Modules systems and advanced robotics projects. This Fingerprint Module (Optical/electronic biometric fingerprint sensor module) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",1950,1500,Communication & Modules,Wireless & Networking,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Sonar Sensor (HC-SR04),"The Sonar Sensor (HC-SR04) is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Sonar Sensor (HC-SR04) (Ultrasonic distance measurement sensor (HC-SR04)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",117,90,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
IR Obstacle Sensor,"The IR Obstacle Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This IR Obstacle Sensor (Infrared proximity / obstacle avoidance sensor) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",84.5,65,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Flame Sensor,"The Flame Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Flame Sensor (Infrared flame detection module) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",84.5,65,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
DHT11 Sensor,"The DHT11 Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This DHT11 Sensor (Basic digital temperature & humidity sensor (DHT11)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",182,140,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
DHT22 / AM2302,"The DHT22 / AM2302 is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This DHT22 / AM2302 (Higher-accuracy temperature & humidity sensor (DHT22/AM2302)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",325,250,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
HR202 Module,"The HR202 Module is a high-performance part specifically designed for Communication & Modules systems and advanced robotics projects. This HR202 Module (Humidity detection module (HR202)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",344.5,265,Communication & Modules,Wireless & Networking,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
MPU6050,"The MPU6050 is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This MPU6050 (6-axis gyro + accelerometer IMU (MPU-6050)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",325,250,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
MPU9250,"The MPU9250 is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This MPU9250 (9-axis IMU: gyro, accel, magnetometer (MPU-9250)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",806,620,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
ADXL345,"The ADXL345 is a high-performance part specifically designed for General Electronics systems and advanced robotics projects. This ADXL345 (Digital high-resolution 3-axis accelerometer (ADXL345)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",585,450,General Electronics,Miscellaneous,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
ADXL335,"The ADXL335 is a high-performance part specifically designed for General Electronics systems and advanced robotics projects. This ADXL335 (Analog 3-axis accelerometer breakout (ADXL335)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",819,630,General Electronics,Miscellaneous,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
TSOP5000,"The TSOP5000 is a high-performance part specifically designed for General Electronics systems and advanced robotics projects. This TSOP5000 (Infrared remote receiver module (TSOP5000)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",19.5,15,General Electronics,Miscellaneous,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
CNY70,"The CNY70 is a high-performance part specifically designed for General Electronics systems and advanced robotics projects. This CNY70 (Reflective infrared sensor (line/following sensor)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",110.5,85,General Electronics,Miscellaneous,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
MAX30100,"The MAX30100 is a high-performance part specifically designed for General Electronics systems and advanced robotics projects. This MAX30100 (Pulse oximeter and heart-rate sensor module (MAX30100)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",455,350,General Electronics,Miscellaneous,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
MAX30102,"The MAX30102 is a high-performance part specifically designed for General Electronics systems and advanced robotics projects. This MAX30102 (Advanced pulse oximeter & heart-rate sensor (MAX30102)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",520,400,General Electronics,Miscellaneous,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Microphone / Sound Sensor (LM393),"The Microphone / Sound Sensor (LM393) is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Microphone / Sound Sensor (LM393) (Sound detection module with LM393 comparator) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",97.5,75,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Vibration Sensor,"The Vibration Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Vibration Sensor (Vibration detection module (shake/vibration switch)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",104,80,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
35 mm Piezo Sensor,"The 35 mm Piezo Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This 35 mm Piezo Sensor (Piezo vibration/knock sensor disc (35 mm)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",78,60,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Current Sensor (ACS712),"The Current Sensor (ACS712) is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Current Sensor (ACS712) (Hall-effect current sensing module (ACS712)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",195,150,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Voltage Sensor,"The Voltage Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Voltage Sensor (Voltage divider sensing module for ADC readings) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",97.5,75,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Voltmeter Module,"The Voltmeter Module is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Voltmeter Module (Panel voltmeter / digital voltmeter module) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",97.5,75,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
